REGION,producto,marca,Promedio de Precio Nuevo,Mes
CAPITAL,ACEITE COMESTIBLE,ADD,"$5,19",junio
CAPITAL,ACEITE COMESTIBLE,ADD,"$4,97",julio
CAPITAL,ACEITE COMESTIBLE,AGROIL,"$3,38",marzo
CAPITAL,ACEITE COMESTIBLE,AGROIL,"$3,99",agosto
CAPITAL,ACEITE COMESTIBLE,AMACORP,"$4,04",mayo
CAPITAL,ACEITE COMESTIBLE,AMACORP,"$4,05",junio
CAPITAL,ACEITE COMESTIBLE,AMACORP,"$4,11",julio
CAPITAL,ACEITE COMESTIBLE,AMACORP,"$3,81",agosto
CAPITAL,ACEITE COMESTIBLE,COAMO,"$3,56",enero
CAPITAL,ACEITE COMESTIBLE,COAMO,"$3,49",febrero
CAPITAL,ACEITE COMESTIBLE,COAMO,"$3,51",marzo
CAPITAL,ACEITE COMESTIBLE,COAMO,"$3,92",abril
CAPITAL,ACEITE COMESTIBLE,COAMO,"$4,32",mayo
CAPITAL,ACEITE COMESTIBLE,COAMO,"$4,51",junio
CAPITAL,ACEITE COMESTIBLE,COAMO,"$4,40",julio
CAPITAL,ACEITE COMESTIBLE,COAMO,"$4,60",agosto
CAPITAL,ACEITE COMESTIBLE,COAMO,"$4,39",septiembre
CAPITAL,ACEITE COMESTIBLE,COCINERO,"$3,85",julio
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,15",enero
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,32",abril
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,51",mayo
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,70",junio
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,47",julio
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,59",agosto
CAPITAL,ACEITE COMESTIBLE,CONCORDIA,"$3,93",septiembre
CAPITAL,ACEITE COMESTIBLE,COPOSA,"$3,61",enero
CAPITAL,ACEITE COMESTIBLE,COPOSA,"$3,78",febrero
CAPITAL,ACEITE COMESTIBLE,COPOSA,"$5,01",mayo
CAPITAL,ACEITE COMESTIBLE,COPOSA,"$4,31",junio
CAPITAL,ACEITE COMESTIBLE,COPOSA,"$3,94",agosto
CAPITAL,ACEITE COMESTIBLE,CORCOVADO,"$3,19",enero
CAPITAL,ACEITE COMESTIBLE,CORCOVADO,"$3,11",febrero
CAPITAL,ACEITE COMESTIBLE,CORCOVADO,"$3,25",marzo
CAPITAL,ACEITE COMESTIBLE,CORCOVADO,"$3,66",abril
CAPITAL,ACEITE COMESTIBLE,CORCOVADO,"$3,31",mayo
CAPITAL,ACEITE COMESTIBLE,DIANA,"$3,57",agosto
CAPITAL,ACEITE COMESTIBLE,DIANA,"$3,57",septiembre
CAPITAL,ACEITE COMESTIBLE,FRITO LISTO,"$4,69",junio
CAPITAL,ACEITE COMESTIBLE,FRITO LISTO,"$4,13",julio
CAPITAL,ACEITE COMESTIBLE,IBERIA,"$4,50",mayo
CAPITAL,ACEITE COMESTIBLE,IBERIA,"$4,68",junio
CAPITAL,ACEITE COMESTIBLE,IBERIA,"$4,80",agosto
CAPITAL,ACEITE COMESTIBLE,IBERIA,"$4,53",septiembre
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,05",enero
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,01",febrero
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,09",marzo
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,46",abril
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,64",mayo
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,77",junio
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,43",julio
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$3,57",agosto
CAPITAL,ACEITE COMESTIBLE,IDEAL,"$2,96",septiembre
CAPITAL,ACEITE COMESTIBLE,INNOVA,"$4,89",mayo
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$3,25",enero
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$3,32",febrero
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$3,76",marzo
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$3,69",abril
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$4,18",mayo
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$4,13",junio
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$4,04",julio
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$4,04",agosto
CAPITAL,ACEITE COMESTIBLE,LA LUCHA,"$3,65",septiembre
CAPITAL,ACEITE COMESTIBLE,LA PAMPA,"$4,16",mayo
CAPITAL,ACEITE COMESTIBLE,LA PAMPA,"$4,10",junio
CAPITAL,ACEITE COMESTIBLE,LA PAMPA,"$3,45",julio
CAPITAL,ACEITE COMESTIBLE,LA PAMPA,"$3,46",agosto
CAPITAL,ACEITE COMESTIBLE,LA PAMPA,"$3,69",septiembre
CAPITAL,ACEITE COMESTIBLE,MARYSOL,"$4,04",marzo
CAPITAL,ACEITE COMESTIBLE,MAZEITE,"$4,49",junio
CAPITAL,ACEITE COMESTIBLE,MI COCINA,"$3,44",julio
CAPITAL,ACEITE COMESTIBLE,MIRASOL,"$4,94",mayo
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$3,85",enero
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$4,13",febrero
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$4,14",marzo
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$4,55",abril
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$5,00",mayo
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$5,01",junio
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$4,72",julio
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$4,57",agosto
CAPITAL,ACEITE COMESTIBLE,NATUROIL,"$4,86",septiembre
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$3,08",enero
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$3,20",febrero
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$3,71",marzo
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$4,41",abril
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$4,33",mayo
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$4,31",junio
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$3,80",julio
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$3,83",agosto
CAPITAL,ACEITE COMESTIBLE,ORIENTAL,"$3,54",septiembre
CAPITAL,ACEITE COMESTIBLE,PORTUMESA,"$3,80",enero
CAPITAL,ACEITE COMESTIBLE,PORTUMESA,"$3,46",febrero
CAPITAL,ACEITE COMESTIBLE,PORTUMESA,"$3,65",marzo
CAPITAL,ACEITE COMESTIBLE,PORTUMESA,"$4,03",abril
CAPITAL,ACEITE COMESTIBLE,PORTUMESA,"$4,45",mayo
CAPITAL,ACEITE COMESTIBLE,PORTUMESA,"$4,23",junio
